1992/6/30,9930000,367884760,36.92,37.08,0.12,2047
1992/7/1,14290000,536078350,37.09,38.05,0.97,2223
1992/7/2,16232000,625636880,38.1,38.69,0.64,1906
1992/7/3,16839000,661217150,38.81,39,0.31,2230
1992/7/4,12491000,487753800,38.75,39.26,0.26,1514
1992/7/7,19461000,784967940,39.6,41,1.74,1978
1992/7/8,13945000,575586450,40.7,41.19,0.19,2296
1992/7/9,8849000,363763270,40.81,41.22,0.03,1198
1992/7/10,8603000,348382480,40.05,40.05,-1.17,1491
1992/7/11,7019000,277417400,39.3,39.91,-0.14,1404
1992/7/14,10771000,436827930,39.92,40.66,0.75,1400
1992/7/15,9432000,383346040,40.19,40.19,-0.47,1101
1992/7/16,6798000,276893690,40.24,40.85,0.66,957
1992/7/17,9924000,399015080,39.8,39.8,-1.05,1187
1992/7/18,7220000,287078070,39.55,39.92,0.12,1032
1992/7/21,6715000,267154330,39.4,39.4,-0.52,993
1992/7/22,9169000,363490990,39.41,39.98,0.58,737
1992/7/23,8148000,328372300,40,40.05,0.07,848
1992/7/24,10984000,448189430,40.2,41.23,1.18,1279
1992/7/25,8433000,346491330,40.85,41.23,0,931
1992/7/28,6839000,285426040,41.57,41.58,0.35,966
1992/7/29,5680000,233010990,40.83,41.02,-0.56,864
1992/7/30,9300000,378924610,40.55,40.6,-0.42,869
1992/7/31,5120000,208233880,40.44,40.87,0.27,965
1992/8/1,3703000,153340310,41.05,41.6,0.73,844
1992/8/4,3708000,153495550,41.21,41.4,-0.2,344
1992/8/5,4929000,200981630,40.5,40.5,-0.9,659
1992/8/6,4646000,186678450,40.06,40.23,-0.27,663
1992/8/7,5574000,224384730,39.97,40.7,0.47,736
1992/8/8,4009000,162440190,40.18,40.18,-0.52,492
1992/8/11,2619000,104578500,39.68,40.1,-0.08,488
1992/8/12,4255000,172402720,40.34,40.55,0.45,429
1992/8/13,12452000,521544240,41,42.45,1.9,1640
1992/8/14,11489000,486593840,42,42.3,-0.15,896
1992/8/15,8705000,374241770,42.66,42.72,0.42,695
1992/8/18,4295000,183577210,42.52,42.8,0.08,494
1992/8/19,6286000,271811720,42.8,43,0.2,704
1992/8/20,4201000,181073180,42.8,43.19,0.19,437
1992/8/21,3518000,152951160,42.8,44,0.81,630
1992/8/22,6243000,276105870,43.95,44.04,0.04,752
1992/8/25,4937000,217636420,43.79,44.35,0.31,518
1992/8/26,8544000,372327820,43.4,43.46,-0.89,871
1992/8/27,6352000,277329490,43.28,43.62,0.16,659
1992/8/28,4754000,207762210,43.49,43.56,-0.06,453
1992/8/29,7666000,338875630,43.6,44.92,1.36,786
1992/9/1,6283000,283499760,44.79,45.15,0.23,804
1992/9/2,2163000,97711050,44.9,45.52,0.37,473
1992/9/3,4321000,196259650,45,45,-0.52,693
1992/9/4,3077000,137885310,44.51,44.51,-0.49,586
1992/9/5,3894000,175161720,44.7,45.03,0.52,582
1992/9/8,5233000,237436070,44.59,45.95,0.92,840
1992/9/9,7878000,364255510,45.7,45.7,-0.25,938
1992/9/10,4903000,221018610,44.8,45.1,-0.6,957
1992/9/12,2730000,123270760,44.8,45.47,0.37,473
1992/9/15,2946000,132703240,44.92,45,-0.47,427
1992/9/16,2267000,102586360,44.6,45.45,0.45,506
1992/9/17,5547000,254206540,45.7,45.79,0.34,745
1992/9/18,1464000,66772040,45.4,45.68,-0.11,450
1992/9/19,6913000,316947000,45.6,45.8,0.12,630
1992/9/22,5920000,267846020,45,45,-0.8,609
1992/9/23,6887000,308671570,44.7,44.8,-0.2,747
1992/9/24,3625000,162609340,44.71,44.85,0.05,415
1992/9/25,6414000,286867240,44.2,44.85,0,528
1992/9/26,3001000,134549030,44.7,44.85,0,323
1992/9/29,1128000,50426000,44.6,44.71,-0.14,205
1992/9/30,4797000,214452980,44.61,44.7,-0.01,412
1992/10/1,4135000,183356910,44.06,44.16,-0.54,526
1992/10/2,6668000,299251370,44.6,45.05,0.89,668
1992/10/3,4895000,221499440,45.07,45.31,0.26,471
1992/10/6,8892000,408854660,45.7,46.25,0.94,881
1992/10/7,7937000,367585510,46.18,46.28,0.03,489
1992/10/8,1810000,83401240,45.87,46,-0.28,312
1992/10/9,5914000,272524950,45.9,46.14,0.14,318
1992/10/13,8657000,405853420,46.4,47.19,1.05,608
1992/10/14,6643000,314441550,47.01,47.01,-0.18,514
1992/10/15,5439000,255722170,46.81,47.05,0.04,363
1992/10/16,10708000,508567060,46.98,47.7,0.65,569
1992/10/17,4645000,221818940,47.51,47.79,0.09,379
1992/10/20,3041000,145807800,47.58,48,0.21,291
1992/10/21,3924000,188119110,47.49,47.8,-0.2,471
1992/10/22,2416000,115146310,47.43,47.8,0,277
1992/10/23,6883000,324846430,47.03,47.1,-0.7,520
1992/10/24,6866000,322876090,46.83,46.95,-0.15,543
1992/10/27,1728000,81221080,46.93,47,0.05,318
1992/10/28,6265000,298264610,47,47.85,0.85,510
1992/10/29,13510000,654902080,48,48,0.15,897
1992/10/30,5127000,247928850,48,48.16,0.16,438
1992/10/31,23668000,1140095920,47.81,48,-0.16,485
1992/11/3,3215000,154068730,47.79,48,0,479
1992/11/4,6331000,306226800,48,48,0,542
1992/11/5,4990000,240769250,48,48.44,0.44,420
1992/11/6,4923000,236807540,47.2,47.6,-0.84,660
1992/11/7,5698000,270468310,47.2,47.78,0.18,598
1992/11/10,1482000,70574240,47.49,47.51,-0.27,339
1992/11/11,2962000,139648650,47,47.18,-0.33,511
1992/11/12,2789000,131484690,47,47.02,-0.16,349
1992/11/13,2636000,124868910,47.3,47.35,0.33,242
1992/11/14,2781000,131867150,47.25,47.55,0.2,227
1992/11/17,5041000,236300050,46.65,46.7,-0.85,593
1992/11/18,6796000,316415070,46.38,46.6,-0.1,560
1992/11/19,10670000,490086920,45.75,45.99,-0.61,909
1992/11/20,5539000,254138080,45.6,45.6,-0.39,687
1992/11/21,3884000,175905120,45.1,45.57,-0.03,566
1992/11/24,1107000,50425640,45.3,45.58,0.01,240
1992/11/25,3287000,151501570,45.89,45.95,0.37,417
1992/11/26,1970000,90646690,45.93,46,0.05,234
1992/11/27,2694000,122740090,45.46,45.48,-0.52,431
1992/11/28,4656000,212429650,45,45,-0.48,496
1992/12/1,6751000,308351050,44.95,46.2,1.2,466
1992/12/2,2635000,121585880,46,46.15,-0.05,346
1992/12/3,3213000,148308400,46.01,46.07,-0.08,273
1992/12/4,3404000,156830210,45.85,46.2,0.13,243
1992/12/5,5251000,242927680,46.19,46.27,0.07,305
1992/12/8,4842000,221490890,45.61,46.3,0.03,397
1992/12/9,2503000,115015140,45.8,46,-0.3,374
1992/12/10,5414000,246982790,45.42,45.74,-0.26,473
1992/12/11,1478000,67663080,45.7,45.8,0.06,215
1992/12/12,1462000,67641050,46,46.1,0.3,321
1992/12/15,2266000,104826050,46.1,46.45,0.35,273
1992/12/16,7865000,363356050,46.1,46.18,-0.27,273
1992/12/17,11143000,508106360,44.9,45.3,-0.88,1039
1992/12/18,5103000,231149140,45.2,45.4,0.1,458
1992/12/19,5240000,237357230,45.12,45.15,-0.25,380
1992/12/22,3920000,179078200,45.15,45.78,0.63,385
1992/12/23,1645000,75240470,45.6,45.8,0.02,185
1992/12/24,1029000,47321680,45.7,45.9,0.1,244
1992/12/25,783000,35973190,45.81,45.81,-0.09,161
1992/12/26,1869000,85563630,45.7,45.75,-0.06,230
1992/12/29,3893000,177218790,45.3,45.42,-0.33,304
