1998/8/14,47300,945,909,921,25.1,298
1998/8/17,21400,925,895,900,-21,117
1998/8/18,11900,895,875,876,-24,93
1998/8/19,4902,888,876,880,4,38
1998/8/20,3500,885,865,880,,27
1998/8/21,6600,890,850,851,-29,51
1998/8/24,2700,885,870.05,875,24,25
1998/8/25,2000,878,858,878,3,17
1998/8/26,2100,877,860.05,877,-1,18
1998/8/27,700,877,860,869.95,-7.05,7
1998/8/28,1900,872,860,860,-9.95,9
1998/8/31,700,849.25,842,843,-17,7
1998/9/1,2300,860,846,860,17,19
1998/9/2,2400,844,840,844,-16,21
1998/9/3,3600,850.75,840,848,4,32
1998/9/4,2200,854.95,850,850,2,19
1998/9/7,6000,885,868,880,30,39
1998/9/8,4200,889,882.95,888,8,30
1998/9/9,3700,897,886.5,886.5,-1.5,24
1998/9/10,11000,903.9,888,903.9,17.4,42
1998/9/11,12300,904,894,904,0.1,23
1998/9/14,7800,900,887,891,-13,22
1998/9/15,700,895,895,895,4,5
1998/9/16,8300,903.5,890,903,8,28
1998/9/17,6800,921,905.5,918,15,35
1998/9/18,2800,922.5,913,915.5,-2.5,16
1998/9/21,3400,918,915.1,916,0.5,12
1998/9/22,2102,913.8,908.8,908.8,-7.2,12
1998/9/23,8900,918.5,908.8,908.8,,18
1998/9/24,4800,910.5,888,890,-18.8,21
1998/9/25,2200,888.6,880,888.6,-1.4,15
1998/9/28,10400,891,870,878.5,-10.1,19
1998/9/29,2700,890,882.5,887.5,9,9
1998/9/30,7100,893.5,876,878.5,-9,26
1998/10/1,1400,883,870,876,-2.5,10
1998/10/2,6000,870,854,866,-10,35
1998/10/5,3000,864,857,860,-6,22
1998/10/6,3100,868,863,863.5,3.5,24
1998/10/7,6200,890,875,886,22.5,35
1998/10/8,5700,894.75,890,890.1,4.1,20
1998/10/9,4500,903,895,903,12.9,30
1998/10/12,1500,905,901,901,-2,10
1998/10/13,1400,911,900,908.5,7.5,14
1998/10/14,1100,913,908,912,3.5,8
1998/10/15,7100,932,915.05,926,14,40
1998/10/16,2400,929.5,920,925,-1,8
1998/10/19,1700,929.7,923,927,2,10
1998/10/20,3300,937.15,930,937.15,10.15,20
1998/10/21,3100,940,930,938.95,1.8,16
1998/10/22,7300,942.9,931.2,942.9,3.95,42
1998/10/23,4300,951,938.25,949.3,6.4,22
1998/10/26,500,949.3,945.35,945.35,-3.95,5
1998/10/27,1300,945.35,935.7,940,-5.35,13
1998/10/28,1300,945,920.75,920.75,-19.25,13
1998/10/29,1700,915,895.75,897.75,-23,12
1998/10/30,800,922,898,922,24.25,4
1998/11/2,200,921.25,910,910,-12,2
1998/11/3,300,926.35,911,911,1,3
1998/11/4,300,911,911,911,,3
1998/11/5,900,910.7,910.7,910.7,-0.3,6
1998/11/6,1200,924,913.55,920,9.3,8
1998/11/9,5300,930,920,920,,28
1998/11/10,1400,940,930,940,20,13
1998/11/11,900,943,932,943,3,7
1998/11/12,1100,945,941,943,,8
1998/11/13,3700,944.85,937,944.65,1.65,7
1998/11/16,1800,953,940,950.1,5.45,13
1998/11/17,3300,963.95,950,956.95,6.85,11
1998/11/18,1800,965,952,957,0.05,9
1998/11/19,4000,966,945,966,9,16
1998/11/20,1200,950,942,942,-24,6
1998/11/23,700,945,942,945,3,7
1998/11/24,300,960,950,956,11,3
1998/11/25,300,956,940,940,-16,3
1998/11/26,1400,950,932,932,-8,6
1998/11/27,3103,940,900,900,-32,13
1998/11/30,1500,920,913,915.1,15.1,11
1998/12/1,2200,918,915,918,2.9,7
1998/12/2,400,935,935,935,17,3
1998/12/3,1600,938,935,938,3,8
1998/12/4,1300,949,930,930,-8,3
1998/12/7,500,950,940,940,10,5
1998/12/8,800,945,936.95,936.95,-3.05,4
1998/12/9,300,935,928,928,-8.95,3
1998/12/10,1300,928,910,910,-18,13
1998/12/11,500,928,919.9,928,18,5
1998/12/14,500,928,925,928,,4
1998/12/15,600,938,920.05,920.05,-7.95,3
1998/12/16,2700,935,919,925,4.95,10
1998/12/17,1900,925,905.05,909,-16,12
1998/12/18,5100,904.6,890,892,X,27
1998/12/21,1500,893,888,888,-4,10
1998/12/22,2200,894,888,892,4,16
1998/12/23,800,895,889,889,-3,7
1998/12/24,600,899,895,899,10,6
1998/12/25,300,902.5,900,902.5,3.5,2
1998/12/28,700,905,900,905,2.5,6
1998/12/29,1200,903,890.6,890.6,-14.4,5
1998/12/30,100,903,903,903,12.4,1
1998/12/31,400,909.9,902,909.9,6.9,4
1999/1/4,302,917,917,917,7.1,4
1999/1/5,300,917,910,917,,3
1999/1/6,1400,920,910,920,3,10
1999/1/7,1100,920,910,920,,8
1999/1/8,0,870,870,870,,0
1999/1/11,800,922,920,921.5,X,6
1999/1/12,200,921.5,915.75,921.5,,2
1999/1/13,1100,905,900,901,-20.5,7
1999/1/14,600,905,899,905,4,6
1999/1/15,300,902,900,902,-3,3
1999/1/18,100,900,900,900,-2,1
1999/1/19,100,900,900,900,,1
1999/1/20,1400,890.1,883,885,-15,10
1999/1/21,2400,880,875,877.95,-7.05,12
1999/1/22,8400,873,845.3,850,-27.95,48
1999/1/25,200,850,850,850,,2
1999/1/26,3500,850,838,839.95,-10.05,18
1999/1/27,400,855,839.95,839.95,,4
1999/1/28,100,839.95,839.95,839.95,,1
1999/1/29,200,844,839,844,4.05,2
1999/2/1,1000,838,830,832,-12,9
1999/2/2,200,844,832,844,12,2
1999/2/3,100,848,848,848,4,1
1999/2/4,2700,855,850,850,2,25
1999/2/5,200,830,820,820,-30,2
1999/2/6,3100,819.95,794,819.95,-0.05,25
1999/2/8,800,825,809,809,-10.95,8
1999/2/9,0,870,870,870,,0
1999/2/10,300,832,817,817.1,X,3
1999/2/22,300,840,826.1,840,22.9,3
1999/2/23,500,847.5,839.95,847.5,7.5,4
1999/2/24,200,845,845,845,-2.5,2
1999/2/25,0,870,870,870,,0
1999/2/26,200,850,827,850,X,2
1999/3/1,300,860,859,860,10,3
1999/3/2,100,870,870,870,10,1
1999/3/3,400,870,869,869,-1,3
1999/3/4,100,867,867,867,-2,1
1999/3/5,100,860,860,860,-7,1
1999/3/8,1400,874.85,860,874,14,4
1999/3/9,100,874,874,874,,1
1999/3/10,100,850,850,850,-24,1
1999/3/11,200,875,870,870,20,2
1999/3/12,0,870,870,870,,0
1999/3/15,0,870,870,870,,0
1999/3/16,100,869,869,869,X,1
1999/3/17,900,870,869,870,1,8
1999/3/18,500,870,870,870,,5
1999/3/19,100,870,870,870,,1
1999/3/22,500,870,869,869,-1,4
1999/3/23,0,870,870,870,,0
1999/3/24,1200,870,860,860,X,4
1999/3/25,300,856,856,856,-4,3
1999/3/26,0,870,870,870,,0
1999/3/29,100,884.4,884.4,884.4,X,1
1999/3/30,100,880,880,880,-4.4,1
1999/3/31,200,876,876,876,-4,2
1999/4/1,900,880,877,880,4,8
1999/4/2,100,875,875,875,-5,1
1999/4/6,0,870,870,870,,0
1999/4/7,200,890,890,890,X,2
1999/4/8,1500,890,890,890,,6
1999/4/9,1400,895,891.5,895,5,12
1999/4/12,400,899,890,899,4,4
1999/4/13,100,900,900,900,1,1
1999/4/14,2000,890,885,885,-15,2
1999/4/15,3500,896,886,893,8,14
1999/4/16,200,893,885,885,-8,2
1999/4/19,400,885,870,870,-15,2
1999/4/20,200,880,851,880,10,2
1999/4/21,0,870,870,870,,0
1999/4/22,0,870,870,870,,0
1999/4/23,0,870,870,870,,0
1999/4/26,0,870,870,870,,0
1999/4/27,1100,900,860,860,X,2
1999/4/28,2600,855,850,850,-10,6
1999/4/29,300,855,845.1,845.1,-4.9,3
1999/4/30,100,850,850,850,4.9,1
1999/5/3,300,845,844,844,-6,3
1999/5/4,0,870,870,870,,0
1999/5/5,300,825,823,823,X,2
1999/5/6,0,870,870,870,,0
1999/5/7,500,822,818,822,X,5
1999/5/10,0,870,870,870,,0
1999/5/11,300,850,825.5,825.5,X,3
1999/5/12,400,865,830,830,4.5,4
1999/5/13,200,840,840,840,10,2
1999/5/14,0,870,870,870,,0
1999/5/17,500,820,815,815,X,4
1999/5/18,200,870,820,820,5,2
1999/5/19,200,815,815,815,-5,2
1999/5/20,100,801,801,801,-14,1
1999/5/21,0,870,870,870,,0
1999/5/24,200,819,819,819,X,1
1999/5/25,1000,805,805,805,-14,1
1999/5/26,0,870,870,870,,0
1999/5/27,100,810,810,810,X,1
1999/5/28,100,820,820,820,10,1
1999/5/31,0,870,870,870,,0
1999/6/1,300,822,791,822,X,2
1999/6/2,100,825,825,825,3,1
1999/6/3,0,870,870,870,,0
1999/6/4,0,870,870,870,,0
1999/6/7,200,790,790,790,X,2
1999/6/8,100,820,820,820,30,1
1999/6/9,0,870,870,870,,0
1999/6/10,300,824.8,815,824.8,X,3
1999/6/11,100,840,840,840,15.2,1
1999/6/14,0,870,870,870,,0
1999/6/15,200,840,810,840,X,2
1999/6/17,200,839,835,835,-5,2
1999/6/18,600,854.9,840,854.9,19.9,2
1999/6/21,700,856,855,856,1.1,5
1999/6/22,200,865,810.1,865,9,2
1999/6/23,0,870,870,870,,0
1999/6/24,100,861,861,861,X,1
1999/6/25,0,870,870,870,,0
1999/6/28,0,870,870,870,,0
1999/6/29,100,849.6,849.6,849.6,X,1
1999/6/30,100,811,811,811,-38.6,1
